Aerobic	Organisms that require the presence of oxygen to live and grow or any bacteria requiring free oxygen for the metabolic breakdown of materials.	Yes/No	General characteristics
Anaerobe	Organisms that can survive and grow without the presence of free oxygen in their immediate environment.	Yes/No	General characteristics
Cellular morphology phenotype	Cell morphology is essential in identifying the shape, structure, form, and size of cells. In bacteriology, for instance, cell morphology pertains to the shape of bacteria if cocci, bacilli, spiral, etc. and the size of bacteria. 	Yes/No	General characteristics
Clumping Factor	Does the organism express a fibrin/fibrinogen binding protein (clumping factor) that promotes attachment to blood clots and traumatized tissue.	Yes/No	General characteristics
DNA G+C Content (mol%)		float	General characteristics
flagellum arrangement	Arrangement of lash-like appendage that protrudes from the cell body of certain prokaryotic and eukaryotic cells.	text	General characteristics
Gram stain	The staining procedure differentiates organisms of the domain Bacteria according to cell wall structure. Gram-positive cells have a thick peptidoglycan layer and stain blue to purple. Gram-negative cells have a thin peptidoglycan layer and stain red to pink. 	Positive/Negative	General characteristics
Growth at 37C	Determines if the organism can grow at 37°C	Yes/No	General characteristics
Habitat	Place where an organism or a biological population normally lives or occurs	text	General characteristics
Hemolysis	This test provides information on what hemolytic enzymes a bacterium possesses. By providing a culture medium enriched with red blood cells, it is possible to determine whether a bacterium can destroy the cells and whether it can digest the hemoglobin inside.	Yes/No	General characteristics
Hydrogen sulfide production	This test determines whether the microbe reduces sulfur-containing compounds to sulfides during the process of metabolism.	Yes/No	General characteristics
Motility 	Can the microbe move (swim) by means of flagella.	Yes/No	General characteristics
Optimal NaCl concentration		float	General characteristics
Optimum Growth Temperature (C)	Temperature at which the organism grows most rapidly	float	General characteristics
Optimum pH		float	General characteristics
Pathogenic	An agent causing disease or illness to its host, such as an organism or infectious particle capable of producing a disease in another organism.	Yes/No	General characteristics
pH growth range		float	General characteristics
Phylum	The primary subdivision of a taxonomic kingdom that groups together all classes of organisms that have the same body plan	text	General characteristics
Pigmented	Is the organism colored	text	General characteristics
Salinity growth range (%)		float	General characteristics
Strain	The genetic variant of the organism	text	General characteristics
Swarming	Swarming involves differentiation of vegetative cells into hyper-flagellated swarm cells that undergo rapid and coordinated population migration across solid or semi-solid surfaces.	Yes/No	General characteristics
Temperature growth range (Celsius)		float	General characteristics
a-glucosidase		Positive/Negative	Enzyme activity
Acetoin production from sodium pyruvate		Positive/Negative	Enzyme activity
Acid phospphatase		Positive/Negative	Enzyme activity
alpa-galactosidase		Positive/Negative	Enzyme activity
Arginine dihydrolase	The purpose is to see if the microbe can use the amino acid arginine as a source of carbon and energy for growth. Use of arginine is accomplished by the enzyme arginine dihydrolase.	Positive/Negative	Enzyme activity
beta-galactosidase		Positive/Negative	Enzyme activity
Catalase Production (24h)	The purpose is to see if the microbe has catalase, a protective enzyme capable of destroying the chemical hydrogen peroxide.	Positive/Negative	Enzyme activity
Cystine arylamidase		Positive/Negative	Enzyme activity
Esculin hydrolysis	Can the organism hydrolyze the compound esculin as a carbon source.	Positive/Negative	Enzyme activity
Esterase (C4)		Positive/Negative	Enzyme activity
Esterase Lipase (C8)		Positive/Negative	Enzyme activity
Gelatinase	Can the organism use the protein gelatin as a source of carbon and energy for growth. Use of gelatin is accomplished by the enzyme gelatinase.	Positive/Negative	Enzyme activity
Indole production from typtophan	The indole test screens for the ability of an organism to degrade the amino acid tryptophan and produce indole.	Positive/Negative	Enzyme activity
Leucine arylamidase		Positive/Negative	Enzyme activity
Lipase	Can the organism use corn oil, a lipid, as a source of carbon and energy for growth. Use ofcorn oil is accomplished by a class of enzymes called lipases.	Positive/Negative	Enzyme activity
Lysine decarboxylase	The purpose is to see if the microbe can use the amino acid lysine as a source of carbon and energy for growth. Use of lysine is accomplished by the enzyme lysine decarboxylase.	Positive/Negative	Enzyme activity
N-acetyl-beta-gulcosaminidase		Positive/Negative	Enzyme activity
Napthol-AS-B1 phosphohydrolase		Positive/Negative	Enzyme activity
ONPG	This test detects only presence of beta galactosidase enzyme.	Positive/Negative	Enzyme activity
Ornithine decarboxylase	The purpose is to see if the microbe can use the amino acid ornithine as a source of carbon and energy for growth. Use of ornithine is accomplished by the enzyme ornithine decarboxylase.	Positive/Negative	Enzyme activity
Oxidase	the oxidase test is a biochemical reaction that assays for the presence of cytochrome oxidase, an enzyme sometimes called indophenol oxidase. In the presence of an organism that contains the cytochrome oxidase enzyme, the reduced colorless reagent becomes an oxidized colored product. 	Positive/Negative	Enzyme activity
Phenylalanine deaminase	This test determines whether the microbe produces the enzyme phenylalanine deaminase, which is needed for it to use the amino acid phenylalanine as a carbon and energy source for growth.	Positive/Negative	Enzyme activity
Tryptophane deaminase		Positive/Negative	Enzyme activity
Typsin		Positive/Negative	Enzyme activity
Urea hydrolysis	The urease test identifies those organisms that are capable of hydrolyzing urea to produce ammonia and carbon dioxide.	Positive/Negative	Enzyme activity
Valine arylamidase		Positive/Negative	Enzyme activity
Voges-Proskauer	The Voges-Proskauer test determines the capability of some organisms to produce non acidic or neutral end products, such as acetoin, from the organic acids that result from using butylene glycol pathway.	Positive/Negative	Enzyme activity
beta-methyl-D-glucoside		Positive/Negative	Growth with different C/N sources
Citrate Utilization	The citrate test screens a bacterial isolate for the ability to utilize citrate as its carbon and energy source.	Positive/Negative	Growth with different C/N sources
D-Cellobiose		Positive/Negative	Growth with different C/N sources
D-Fructose		Positive/Negative	Growth with different C/N sources
D-Maltose		Positive/Negative	Growth with different C/N sources
D-Mannitol		Positive/Negative	Growth with different C/N sources
D-Mannose		Positive/Negative	Growth with different C/N sources
D-Melibiose		Positive/Negative	Growth with different C/N sources
D-Raffinose		Positive/Negative	Growth with different C/N sources
D-Salicin		Positive/Negative	Growth with different C/N sources
D-Trehalose		Positive/Negative	Growth with different C/N sources
Deoxyribonuclease, 25C 	The purpose is to see if the microbe can use DNA as a source of carbon and energy for growth. Use of DNA is accomplished by an enzyme called DNase.	Positive/Negative	Growth with different C/N sources
